source,target,dist,street_name
4149739956,3275070544,14.92,Warotstraat
4149739956,166740,48.08,Warotstraat
4149739957,4149739956,18.96,Unnamed road
4149739957,4149739958,6.59,Unnamed road
4149739958,4149739957,6.59,Unnamed road
4149739958,4149739959,8.2,Unnamed road
4149739959,4149739958,8.2,Unnamed road
4149739959,4149739960,7.36,Unnamed road
4149739960,4149739959,7.36,Unnamed road
4149739960,4149739969,16.16,Unnamed road
4149739969,4149739960,16.16,Unnamed road
5101576332,7794967669,1.81,Unnamed road
5101576332,1830016393,2.96,Unnamed road
5101576334,8786794155,23.33,Unnamed road
5101576334,5101576335,51.67,Unnamed road
5101576334,5101576337,18.08,Unnamed road
5101576334,5101576338,6.26,Unnamed road
5101576335,5101576334,51.67,Unnamed road
5101576335,5101576336,11.13,Unnamed road
5101576336,1468071225,24.61,Unnamed road
5101576336,1468071174,5.34,Unnamed road
5101576336,5101576335,11.13,Unnamed road
4149739990,3843414238,23.64,Stationsplein
4149739990,166736,30.51,Stationsplein
4149739990,4149739991,10.67,Unnamed road
4149739991,4149739990,10.67,Unnamed road
4149739991,4149739992,43.45,Unnamed road
4149739991,5654321179,6.15,Unnamed road
4149739992,1639394718,12.85,Unnamed road
4149739992,4149739991,43.45,Unnamed road
4149739992,4149739993,183.85,Unnamed road
4149739993,4149739992,183.85,Unnamed road
5101576337,5101576344,3.11,Unnamed road
5101576337,5101576334,18.08,Unnamed road
1972634102,310603457,11.62,Steenbergstraat
9944433219,5098189977,23.91,Unnamed road
9944433219,5098189976,90.6,Unnamed road
9944433226,5098189943,1.17,Unnamed road
9944433226,5098189977,4.49,Unnamed road
9944433227,5098189947,1.58,Unnamed road
9944433227,5098189943,0.89,Unnamed road
13149533930,13149533931,21.22,Unnamed road
13149533930,13149533929,15.55,Unnamed road
9944433231,5098189988,2.66,Unnamed road
9944433231,5098189990,1.4,Unnamed road
9944433232,5098189986,16.38,Unnamed road
9944433232,9944435973,3.83,Unnamed road
9836692048,1478003988,12.0,Doggeweg
9836692049,9722228574,80.33,Keibergstraat
9944433237,5098190005,6.49,Unnamed road
9944433237,9944433240,1.66,Unnamed road
9944433238,9944433239,1.57,Unnamed road
9944433238,5098189986,22.54,Unnamed road
9944433239,5098190017,1.34,Unnamed road
9944433239,9944433238,1.57,Unnamed road
9944433240,9944433237,1.66,Unnamed road
9944433240,5098190017,1.2,Unnamed road
13149533933,13149533934,34.28,Unnamed road
13149533933,13149533932,11.23,Unnamed road
9944433243,9944433246,19.95,Unnamed road
9944433243,5098190005,28.57,Unnamed road
9944433246,9944433251,7.4,Unnamed road
9944433246,9944433243,19.95,Unnamed road
13149533934,13149533935,27.67,Unnamed road
13149533934,13149533933,34.28,Unnamed road
9944433251,9944433252,11.95,Unnamed road
9944433251,9944433246,7.4,Unnamed road
9944433252,9944433255,2.4,Unnamed road
9944433252,9944433251,11.95,Unnamed road
9944433255,9944433260,3.93,Unnamed road
9944433255,9944433252,2.4,Unnamed road
3522429543,208184113,53.29,Brusselsesteenweg
3522429543,177593013,48.51,Brusselsesteenweg
3522429543,13168276990,6.61,Unnamed road
3522429544,2343674370,18.0,Brusselsesteenweg
3522429544,6280606946,7.68,Brusselsesteenweg
9944433259,5098190003,1.89,Unnamed road
9944433259,9944433260,8.12,Unnamed road
9944433260,9944433259,8.12,Unnamed road
9944433260,9944433255,3.93,Unnamed road
12851609290,12851609291,1.82,Unnamed road
12851609290,5296998200,3.45,Unnamed road
13343130255,12040208301,14.1,Wijgmaalbroek
13343130255,13343130256,4.8,Unnamed road
13343130256,13120339907,8.08,Unnamed road
13343130256,13120339906,14.02,Unnamed road
13343130256,13343130257,8.03,Unnamed road
13343130256,13343130255,4.8,Unnamed road
13343130257,13343130256,8.03,Unnamed road
13343130259,13343130260,3.97,Unnamed road
13343130259,474616731,2.24,Unnamed road
13343130259,13343130265,2.85,Unnamed road
13343130260,13343130259,3.97,Unnamed road
13343130265,13343130259,2.85,Unnamed road
12851609291,12851609279,60.94,Unnamed road
12851609291,12851609290,1.82,Unnamed road
12851609291,12851634865,5.88,Unnamed road
6445335225,3205227800,30.08,Unnamed road
6445335225,180249748,3.43,Unnamed road
13149533953,13149533954,39.42,Unnamed road
13149533953,13149533952,42.1,Unnamed road
240648898,1380537407,11.63,Ganzemanstraat
240648898,11229129620,9.51,Ganzemanstraat
240648899,1380537411,13.31,Ganzemanstraat
240648899,1380537407,17.81,Ganzemanstraat
240648900,240648903,34.98,Ganzemanstraat
240648900,1380537411,14.71,Ganzemanstraat
13149533954,13149533955,28.19,Unnamed road
13149533954,13149533953,39.42,Unnamed road
13343130309,150570435,125.25,Weduwenrij
13343130309,13125129203,1.24,Weduwenrij
240648903,11457637987,17.19,Ganzemanstraat
240648903,240648900,34.98,Ganzemanstraat
240648904,2616567771,32.39,Ganzemanstraat
240648904,11457637987,16.34,Ganzemanstraat
240648905,240648906,49.96,Ganzemanstraat
240648905,2616567771,20.67,Ganzemanstraat
240648906,2616567852,28.31,Ganzemanstraat
240648906,240648905,49.96,Ganzemanstraat
13505397452,8883557129,3.3,Unnamed road
240648909,240648910,59.37,Ganzemanstraat
240648909,240648908,50.84,Ganzemanstraat
240648910,240648911,70.92,Ganzemanstraat
240648910,240648909,59.37,Ganzemanstraat
240648911,240648912,60.72,Ganzemanstraat
240648911,240648910,70.92,Ganzemanstraat
240648912,240648913,45.92,Ganzemanstraat
240648912,240648911,60.72,Ganzemanstraat
240648913,240648915,54.18,Ganzemanstraat
240648913,240648912,45.92,Ganzemanstraat
240648908,240648909,50.84,Ganzemanstraat
240648908,2616567852,23.24,Ganzemanstraat
